# k_point	stock|1000
1000.000000 0.245605
1500.000000 0.106469
2000.000000 0.058430
2500.000000 0.039591
3000.000000 0.027436
3500.000000 0.019415
4000.000000 0.014417
4500.000000 0.012408
5000.000000 0.011605
5500.000000 0.009751
6000.000000 0.008777
6500.000000 0.008036
7000.000000 0.007170
7500.000000 0.006386
8000.000000 0.005402
8500.000000 0.004605
9000.000000 0.004034
9500.000000 0.003860
10000.000000 0.003630
10500.000000 0.004009
11000.000000 0.003369
11500.000000 0.003110
12000.000000 0.002768
12500.000000 0.002565
13000.000000 0.002478
13500.000000 0.002519
14000.000000 0.002207
14500.000000 0.002015
15000.000000 0.002000
15500.000000 0.001908
16000.000000 0.001914
16500.000000 0.001792
17000.000000 0.001711
17500.000000 0.001613
18000.000000 0.001506
18500.000000 0.001565
19000.000000 0.001380
19500.000000 0.001273
20000.000000 0.001250
20500.000000 0.001204
21000.000000 0.001247
21500.000000 0.001255
22000.000000 0.001230
22500.000000 0.001158
23000.000000 0.001038
23500.000000 0.000971
24000.000000 0.000929
24500.000000 0.000916
25000.000000 0.000941
25500.000000 0.000976
26000.000000 0.000923
26500.000000 0.000912
27000.000000 0.000850
27500.000000 0.000773
28000.000000 0.000727
28500.000000 0.000720
29000.000000 0.000727
29500.000000 0.000719
30000.000000 0.000704
